Genus: 2
Length: 13
Intersection: true
Number of data: 200

Genus,Length,Dilitation,isPseudoAnosov,Intersection_Number,Word
2,13,8.878846211475137,true,21,Y0y1z0z0Z1Y1Y0Z1Y0Y0Y1y1z0
2,13,8.547105937854598,true,14,Z0y0Y0Z1Z1y1Z0Y0Z0Z1z0Z1Y0
2,13,7.8997828931140806,true,25,y1z0Z1Y0Z1z1Y1y1y1Y0y1y0Y1Y0
2,13,10.772211043011037,true,11,z0z1z0Z0Z1z1Z0Z0z1y0Z0z1z1
2,13,8.332715382710253,true,21,Y1Y1y1z1Y1Z1z1Y0Y0Z1y1z0y1Y0
2,13,7.0239692758598515,true,18,Z0y0y1Z1Y0Z0Z0Y0z1y1y0Z0Y1
2,13,7.373213200596501,true,18,Z1Y1Y1z0y0y1Z0Y1Z0y0Z0Y0z0Y1
2,13,9.031247014335051,true,8,Y0z1Z0z1Z1y1z1z0y0Y0Y0z0z1
2,13,7.715358481681597,true,15,Y1Y0Z0Y1y0y1Y1y0z1Z0Y0y1z0y1
2,13,8.481985959948656,true,27,y0y1y0y1Z0y0Y0Y1z1Y0z0Z1y0Y1
2,13,5.729195211667416,true,9,Y1Y0Y0y0Z1Y1Z0y0z0Z0y0z0Z1
2,13,9.399909862562307,true,5,z0Y0Z1z1Z1y1y1Z0z0Z0Y0y1Y1y0
2,13,8.318034452481177,true,21,Y1y0z0Z0y0z1y0Y1z1y0Y0Z0Y0Y0
2,13,7.024901256847837,true,22,z0y0Y0z0y0z1y0z0y0y1y0Z1Y0Y0
2,13,7.59443733280749,true,6,Y0Z0Z1Z0z1y1Z1y1z0Z0y1y1Y1Z0
2,13,11.005541580644653,true,42,y1y1z0Z1Z0Y1z1Y0y1z1y0z1Y0
2,13,7.614983771832004,true,8,Z0z0y1Y0y1Y1y0z1z0y1y1Z0y0
2,13,6.867947721127624,true,4,Y1Z0Z0Z1Z1y1Y0y0z0Z0z0y1z1Z1
2,13,10.784917720083058,true,11,y0Z0Z1z1y0z1y1Y1Z0Z1Z0Y1Z1z0
2,13,6.5457222642959705,true,20,z0y1Z1y0Z0Y1Z0y0y0y0y0Z0y1y0
2,13,7.252230720056804,true,18,z0Y1Z0Z1y0y0y0y0Z0Y0z1Z0y0
2,13,8.107123526978974,true,14,z1z0y1Y1Z0y1y0Z1z0Z1Y1Y0y1Y0
2,13,7.451882214741841,true,2,z0Z0y1y0y1Y0Y0Y1y1y0z1y1Y1y1
2,13,5.792829982752749,true,12,y1Z0Y1Y0y0y0Z1y0z0Y0z0y1y0
2,13,8.848466594911292,true,15,z1z1y0Y0Z0y1z1Y0Z0Y0z0z1y0Z1
2,13,6.4452773843917575,true,7,z0Y0Y0z1z0Z0z0Y0Z0z0Y1Y0z0
2,13,7.1577754340228905,true,6,z0Y0Y1z1y1Y0y0Y0Y1y1Y1y1Z0Y0
2,13,8.477557129884138,true,11,z1Z1z0Y1Z1Y0Y0y0z0Z1z0y0z0z0
2,13,0.0,false,12,y0Y1Y1z0Y1Z0z0z0Y0Z0Y1y1Z0Y1
2,13,7.6102440293311115,true,13,Z1Y0Z0z1y0y1y0Z0z1y1Y0z0z1
2,13,10.655658099032383,true,23,Z1Z0Z1y1z1z0z1y0z1Y0Z1Y1z0
2,13,7.919987003764471,true,25,y0z0y1y0z1y0Z0y0z0y1z1z1z0Y1
2,13,9.474070146884168,true,17,Z1Z0z1z0y1y0Z1z1z0Y1Y0Y1z0
2,13,7.753755595629329,true,29,y1Z1Y1Z0Z0y0Y1Z0Y1z0z0z1Z0z1
2,13,10.735229744310915,true,3,z1Z0Z1z1z0Y1y1z0Y1y1Y1z1Z0Y0
2,13,9.87107378719614,true,23,Y1y0Y1z0Z1Z1z0Y1z1Z0z0Z1y0
2,13,10.12847562720747,true,17,Y0y0z1Y0y1Z0Y0Z0Y0z1Y1z0z1Z0
2,13,9.782683617331184,true,18,y0Y1z1Z1y0Y1y0Z1Y1Z0z0y0z1
2,13,10.661895364072745,true,30,y1y1Z1Y0Z0z1y0y0y0z1z1y0z1y0
2,13,0.0,false,4,Y1Z1Z0z1z0Z0Y1Y1z0Z0Y1z0y1
2,13,0.0,false,2,Z1z1y1z1Y0Y0y0y0Y1y0Y0Y0Z1
2,13,11.602313566325503,true,22,z1y0Y1y1Z0Z1z0Z1z0Y1z0z0z1z1
2,13,9.438896576683995,true,27,z1Y1z1z0y1y0Y1z1y1z1z0y0z1Y1
2,13,8.898399504669912,true,17,z1Y0Y1y1Y1z0y1Z0Y1y1z1Y0y1Y0
2,13,7.792463273360573,true,10,z0y0Y1Z0y1z0Z0Y0y0Z0z1z0y0
2,13,11.423935191912905,true,27,z1Z0Y1z1z0Y0Z1Z0z1Z0Y1y1z1
2,13,0.0,false,14,Z0Y1Z0Z0z0z1Z1Z0Z1z0z1Y1Z1Y1
2,13,9.14710666214637,true,32,y1y1Y0y0y0z1z0z0Z1y1z0Z1Z0Z1
2,13,0.0,false,12,y1Z0Y1y1Z0z1z1Z1z0y1y1Z1y1
2,13,8.808086599119898,true,25,y1Y0z0Y0y1z1y0z0y1Z0Z1Z1Y0Z0
2,13,9.45118132651093,true,23,Y0Y0y1y1y1z0z0Y0Y0z1Z1y1z0Z1
2,13,10.146497845904735,true,21,y0Y0y0z1Y0Y1Z1Z0Z1Y0Y0y1Z0
