Genus: 2
Length: 10
Intersection: false
Number of data: 200

Genus,Length,Dilitation,isPseudoAnosov,Intersection_Number,Word
2,10,9.703865689681184,true,-,z0y1Y0Z1y0Z1Z0z1y0Z1z1
2,10,6.346163328399888,true,-,Z1Z0Z1Z0y1Y0Y1Y0y0Y0Y0
2,10,8.265566304792731,true,-,y0Z0Y0z1y0Z0Y0y1Z1z0z1
2,10,0.0,false,-,Y1Z1Z0z0y1Y1Z1z0Z1z0z1
2,10,6.846943068705578,true,-,y1Z1Z1y0z0Z0y1z1Y0y1
2,10,8.759684358850262,true,-,Z0Z0z1y0z1z1Y0z1Y1Y0Z1
2,10,5.762862181819795,true,-,Y1z0Y0y1y1y0y0Z0z1Y1
2,10,6.987281053638778,true,-,Y0y1Y1y0z0Z0Z1z1z1Z1
2,10,7.670148834977302,true,-,Y1Y1Z0Y0Y1Z0z1z1z0Y1
2,10,7.3783805150427275,true,-,Z1z0Z1y1y0Y0Z0z1Z0z1Y0
2,10,9.095507551533037,true,-,Z1y0y1z0z0z1z0y0Z1y0y1
2,10,4.989399471792775,true,-,z1Y1Y0Z0Y1Z1Y1Z0z0y0Z1
2,10,8.291494703683412,true,-,z1z1z1Z1Z0Z0z0y1y0z1Y1
2,10,7.2641699292799,true,-,Y0z1Z0Z1y0Z0Z1Z0Z0Y1
2,10,8.26958577253243,true,-,Y1Z1Z0Z1y1Z1z1y0y0y0Y1
2,10,7.6553442816326465,true,-,y0y0z0y1z0z1Z1Z1z1z0y0
2,10,5.71846055222462,true,-,Z0z1y1z1Y0Z0y1Y1y0y1y0
2,10,0.0,false,-,Z0z1Y1y1Z0Z0z1z1z1Y1
2,10,6.8030141644206426,true,-,y1Z0Y1z1Y0Z1Y1Z0z0Y0Z1
2,10,7.931862167252949,true,-,Y0z1y0Y1y0y0Z1y1z1z0Z0
2,10,7.287078665142563,true,-,Z1Z1z0Y0Z1Z0Y1z0y1Z0
2,10,6.857267959427915,true,-,z0Z1Y0Y0Z0z0y1Y0Z1y1z1
2,10,6.288717996880328,true,-,Z0z0Z0Y1Z1Y1y0Y0z1z1
2,10,7.1052486374833705,true,-,Y0z1Z0y1Y1Z0Z0y1z1y1Z0
2,10,6.4735957410160125,true,-,Z0Y0Y0Z0Z1z1z1Z1y0Z0Z0
2,10,7.441895434208805,true,-,z1Z0Y0z1Y0z1Y0z0y1Y0
2,10,0.0,false,-,y1z1Y0z0Z1y0Z0z1y1y1
2,10,6.749614715294443,true,-,Z0z1Y0Y1Y0z0Z0y0y1Y1
2,10,2.4899914573065405,true,-,y1Y1z0z1y1Y0Z0Z0z0Z0
2,10,6.849397627411016,true,-,z0Z0y0z0Y1Z1z0Y0y0y1
2,10,7.491926000265777,true,-,y1Z0Z1Y0z1y1z0Z1Z0y1
2,10,4.767610412345481,true,-,y1y1y0z0Y1Y1Z1Y1Z1Y1Y0
2,10,5.7676797723932465,true,-,Z0z1Z0Z0Z0Y1y0Z1y0z0
2,10,8.14343530483448,true,-,Z1z0z1Y1Y0z1z0Y1z1z1
2,10,0.0,false,-,y1z0Z0y1Z1y1Z0z0Y1Y1
2,10,0.0,false,-,Z0Z1y1y1z0Y1Z0Z1Y1z0z0
2,10,6.535218150713496,true,-,Y0y1Z1Z1y1z0y1z1Y1y1Z1
