Dilatation Without Zero

"dilitation","comma"
6.1815,","
6.6523,","
8.7847,","
6.4245,","
6.8642,","
6.7996,","
5.5636,","
7.2757,","
6.2890,","
6.6585,","
7.6571,","
4.6932,","
6.4981,","
6.3937,","
8.4743,","
6.2593,","
3.2531,","
6.1396,","
7.8460,","
6.3150,","
7.4019,","
8.9512,","
5.2175,","
4.3045,","
7.8343,","
7.2844,","
8.7171,","
5.8976,","
6.6023,","
5.3347,","
5.5648,","
7.6643,","
8.0650,","
5.3321,","
6.0792,","
6.4644,","
5.6951,","
7.5373,","
5.6348,","
7.0357,","
6.5972,","
7.0934,","
8.1037,","
6.1141,","
9.7640,","
6.9501,","
6.3394,","
5.4014,","
5.1814,","
9.3334,","
7.1388,","
6.0870,","
6.1884,","
6.1881,","
8.9611,","
6.7289,","
7.4037,","
8.3809,","
4.5799,","
4.4663,","
6.2830,","
7.2727,","
6.3103,","
5.4715,","
7.6154,","
5.4243,","
8.1564,","
2.7377,","
6.4204,","
6.3579,","
5.2748,","
8.3510,","
8.3710,","
7.9595,","
4.9204,","
10.2241,","
7.2453,","
7.0276,","
5.4170,","
7.9180,","
5.7455,","
8.7249,","
6.4084,","
9.3493,","
9.6863,","
7.2158,","
8.9122,","
6.7427,","
5.9740,","
6.8521,","
6.2016,","
6.2887,","
7.0321,","
5.9092,","
7.0124,","
6.6233,","
6.2470,","
7.8142,","
5.9317,","
7.0199,","
9.6128,","
5.2533,","
7.5581,","
8.4355,","
8.4928,","
6.5285,","
5.8094,","
9.2764,","
8.1309,","
7.3359,","
6.9246,","
5.6340,","
7.2502,","
7.0397,","
6.7058,","
9.5490,","
7.6643,","
8.8560,","
5.7643,","
6.1535,","
8.9077,","
5.9738,","
6.7327,","
8.2001,","
6.5069,","
4.4357,","
6.3964,","
6.9969,","
7.3482,","
5.3303,","
5.9618,","
5.6143,","
7.2503,","
6.5178,","
6.9726,","
5.9833,","
8.3360,","
5.5667,","
6.2098,","
7.4642,","
6.1968,","
7.8508,","
8.5046,","
4.9711,","
6.2489,","
7.6527,","
6.7005,","
9.1349,","
8.6855,","
4.7893,","
5.1044,","
5.6995,","
4.7955,","
4.9000,","
5.3807,","
6.4197,","
6.7772,","
8.9104,","
7.1716,","
5.8443,","
5.7884,","
6.0954,","
5.2198,","
7.9063,","
6.2083,","
5.1579,","
6.5670,","
6.7769,","
7.6003,","
6.8761,","
7.5803,","
8.2926,","
5.8491,","
6.7967,","
7.4808,","
7.7182,","
6.4626,","
4.6418,","
6.7510,","
4.2521,","
6.8885,","
5.1376,","
7.3511,","
6.2807,","
6.0923,","
8.8833,","
8.6649,","
5.7981,","
5.4055,","
